"filename", "language", "C++", "comment", "blank", "total"
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\guest.cpp", "C++", -27, 0, -1, -28
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\guest.h", "C++", 27, 0, 3, 30
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\landlord.cpp", "C++", 30, 2, 3, 35
"d:\MyWorks\MyWorks\Experiment of programming\Project3(HenBnb)\code\landlord.h", "C++", 2, 0, -1, 1
"Total", "-", 32, 2, 4, 38
