"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\MyWorks\Basics of Programming\week 3\rhombus.cpp", "C++", 28, 0, 0, 4, 32
"d:\MyWorks\Basics of Programming\week 3\test_conio.cpp", "C++", 13, 0, 3, 5, 21
"d:\MyWorks\Basics of Programming\week 4\ArrayNum.cpp", "C++", 40, 0, 0, 2, 42
"d:\MyWorks\Basics of Programming\week 4\BAWKgetchar.cpp", "C++", 19, 0, 0, 5, 24
"d:\MyWorks\Basics of Programming\week 4\Bee.cpp", "C++", 17, 0, 0, 3, 20
"d:\MyWorks\Basics of Programming\week 4\BlackAndWhiteKeys.cpp", "C++", 34, 0, 0, 7, 41
"d:\MyWorks\Basics of Programming\week 4\DeStringBlackAndWhiteKeys.cpp", "C++", 29, 0, 0, 7, 36
"d:\MyWorks\Basics of Programming\week 4\EqualDifferentNum.cpp", "C++", 61, 0, 0, 9, 70
"d:\MyWorks\Basics of Programming\week 4\Fibonacci.cpp", "C++", 34, 0, 9, 4, 47
"d:\MyWorks\Basics of Programming\week 4\HannoiTower.cpp", "C++", 34, 0, 0, 4, 38
"d:\MyWorks\Basics of Programming\week 4\Knot.cpp", "C++", 18, 0, 0, 7, 25
"d:\MyWorks\Basics of Programming\week 4\NarcussisNumber.cpp", "C++", 41, 0, 0, 4, 45
"d:\MyWorks\Basics of Programming\week 4\PrimeNumber.cpp", "C++", 24, 0, 0, 3, 27
"d:\MyWorks\Basics of Programming\week 4\Swap_Using_Pointer.cpp", "C++", 16, 0, 0, 2, 18
"d:\MyWorks\Basics of Programming\week 4\digits multiplation.cpp", "C++", 22, 0, 1, 5, 28
"d:\MyWorks\Basics of Programming\week 4\rings.cpp", "C++", 21, 0, 0, 3, 24
"d:\MyWorks\Basics of Programming\week 4\test.cpp", "C++", 12, 0, 0, 8, 20
"d:\MyWorks\Basics of Programming\week 5\Ackermann.cpp", "C++", 19, 0, 0, 4, 23
"d:\MyWorks\Basics of Programming\week 5\CompleteNum.cpp", "C++", 35, 0, 0, 4, 39
"d:\MyWorks\Basics of Programming\week 5\Exchange.cpp", "C++", 18, 0, 0, 4, 22
"d:\MyWorks\Basics of Programming\week 5\ImprovingMoney.cpp", "C++", 50, 0, 0, 3, 53
"d:\MyWorks\Basics of Programming\week 5\Medicine.cpp", "C++", 21, 0, 0, 1, 22
"d:\MyWorks\Basics of Programming\week 5\Money.cpp", "C++", 23, 0, 0, 2, 25
"d:\MyWorks\Basics of Programming\week 5\Naruto.cpp", "C++", 21, 0, 0, 8, 29
"d:\MyWorks\Basics of Programming\week 5\NumFrendity.cpp", "C++", 36, 0, 0, 6, 42
"d:\MyWorks\Basics of Programming\week 5\PrimeSum.cpp", "C++", 31, 0, 0, 4, 35
"d:\MyWorks\Basics of Programming\week 5\Shopping.cpp", "C++", 20, 0, 0, 5, 25
"d:\MyWorks\Basics of Programming\week 5\ShoppingHu.cpp", "C++", 16, 0, 0, 1, 17
"d:\MyWorks\Basics of Programming\week 5\Special4DigitsNumber.cpp", "C++", 32, 0, 0, 4, 36
"d:\MyWorks\Basics of Programming\week 5\Transformation.cpp", "C++", 71, 0, 2, 8, 81
"d:\MyWorks\Basics of Programming\week 5\pingpong.cpp", "C++", 23, 0, 0, 5, 28
"d:\MyWorks\Basics of Programming\week 5\scratches.md", "Markdown", 0, 98, 0, 52, 150
"d:\MyWorks\Basics of Programming\week 6\4SquareTheorem.cpp", "C++", 27, 0, 1, 4, 32
"d:\MyWorks\Basics of Programming\week 6\ArrayAndPointer.cpp", "C++", 11, 0, 3, 5, 19
"d:\MyWorks\Basics of Programming\week 6\FIgureSimilarityWithPtr.cpp", "C++", 28, 0, 4, 10, 42
"d:\MyWorks\Basics of Programming\week 6\FigureSimilarity.cpp", "C++", 38, 0, 4, 15, 57
"d:\MyWorks\Basics of Programming\week 6\HorsePoint.cpp", "C++", 54, 0, 0, 10, 64
